PO,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,11/3/96,18-072,LAL,,MIN,W (+6),0,6:00,0,1,0,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-1.1
0,2,11/5/96,18-074,LAL,@,NYK,W (+6),0,3:00,0,1,0,0,0,,1,2,0.5,0,0,0,0,0,0,1,0,1,-1.1
0,3,11/6/96,18-075,LAL,@,CHH,L (-10),0,7:00,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,3,0,5,0.7
0,4,11/8/96,18-077,LAL,@,TOR,L (-1),0,17:00,3,8,0.375,2,3,0.667,2,4,0.5,0,3,3,0,0,1,0,3,10,5.2
0,5,11/10/96,18-079,LAL,,ATL,W (+7),0,8:00,0,3,0,0,0,,2,2,1,1,2,3,1,0,0,0,0,2,1.9
0,6,11/12/96,18-081,LAL,@,HOU,W (+11),0,5:00,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,2,0,2,-0.7
0,7,11/13/96,18-082,LAL,@,SAS,L (-12),0,6:00,2,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2,6,5.6
0,8,11/15/96,18-084,LAL,,LAC,W (+7),0,7:00,1,4,0.25,0,2,0,2,3,0.667,0,0,0,0,0,0,1,4,4,-1.4
0,9,11/17/96,18-086,LAL,@,PHO,W (+14),0,14:00,5,8,0.625,4,6,0.667,2,2,1,2,0,2,2,0,0,4,2,16,10.4
0,10,11/19/96,18-088,LAL,@,GSW,W (+3),0,8:00,0,2,0,0,1,0,3,4,0.75,0,2,2,1,0,0,1,2,3,0.7
0,11,11/20/96,18-089,LAL,,UTA,L (-16),0,21:00,4,5,0.8,3,3,1,0,0,,0,1,1,1,0,1,2,1,11,8.4
0,12,11/26/96,18-095,LAL,@,PHI,W (+12),0,21:00,4,10,0.4,2,5,0.4,2,2,1,0,1,1,1,0,0,3,1,12,4.2
