Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,12/1/99,21-100,LAL,,GSW,W (+18),0,30:00:00,7,18,0.389,0,3,0,5,6,0.833,3,3,6,3,0,0,2,4,19,10.3
0,2,12/3/99,21-102,LAL,,POR,W (+13),0,34:00:00,6,15,0.4,0,1,0,11,13,0.846,2,6,8,0,2,1,0,4,23,18.4
0,3,12/5/99,21-104,LAL,,ORL,W (+17),0,26:00:00,6,12,0.5,2,3,0.667,1,2,0.5,0,3,3,3,1,1,4,2,15,8.5
0,4,12/7/99,21-106,LAL,,WAS,W (+11),0,31:00:00,5,13,0.385,0,1,0,11,14,0.786,0,1,1,2,2,0,3,4,21,11.8
0,5,12/8/99,21-107,LAL,@,SAC,L (-12),1,42:00:00,11,19,0.579,1,2,0.5,4,5,0.8,0,6,6,5,1,0,6,1,27,17.6
0,6,12/11/99,21-110,LAL,@,VAN,W (+12),1,39:00:00,5,12,0.417,0,0,,4,4,1,1,5,6,7,0,5,2,3,14,15
0,7,12/12/99,21-111,LAL,,DET,W (+8),1,35:00:00,11,24,0.458,0,2,0,4,5,0.8,1,4,5,6,1,1,3,5,26,16
0,8,12/14/99,21-113,LAL,,LAC,W (+27),1,30:00:00,5,12,0.417,0,1,0,8,9,0.889,0,3,3,3,2,2,1,1,18,16.2
0,9,12/16/99,21-115,LAL,@,ATL,W (+7),1,41:00:00,10,19,0.526,0,1,0,10,11,0.909,1,6,7,2,0,1,0,6,30,22.5
0,10,12/17/99,21-116,LAL,@,MIN,W (+9),1,44:00:00,10,24,0.417,0,2,0,8,9,0.889,3,4,7,12,1,0,4,5,28,21.5
0,11,12/19/99,21-118,LAL,@,TOR,W (+6),1,41:00:00,9,20,0.45,0,0,,8,11,0.727,0,3,3,3,3,0,4,5,26,14.4
0,12,12/20/99,21-119,LAL,@,BOS,W (+9),1,45:00:00,9,17,0.529,1,1,1,8,8,1,0,4,4,4,4,0,3,3,27,22.5
0,13,12/25/99,21-124,LAL,,SAS,W (+6),1,35:00:00,7,19,0.368,0,1,0,4,5,0.8,0,5,5,5,0,0,4,3,18,6.9
0,14,12/27/99,21-126,LAL,,DAL,W (+2),1,42:00:00,10,22,0.455,1,1,1,4,4,1,2,7,9,4,3,0,3,3,25,18.7
0,15,12/29/99,21-128,LAL,,PHO,W (+16),1,41:00:00,8,15,0.533,0,0,,2,2,1,0,6,6,6,1,0,4,3,18,12.5
0,16,1/4/00,21-134,LAL,@,LAC,W (+24),1,37:00:00,12,26,0.462,0,1,0,5,7,0.714,5,4,9,2,1,0,4,4,29,16.3
0,17,1/5/00,21-135,LAL,,LAC,W (+17),1,37:00:00,11,22,0.5,0,1,0,4,6,0.667,3,7,10,6,1,2,2,3,26,21.8
0,18,1/7/00,21-137,LAL,,CHH,W (+4),1,36:00:00,5,19,0.263,1,4,0.25,2,2,1,3,7,10,4,1,0,5,5,13,2.7
0,19,1/8/00,21-138,LAL,@,SEA,W (+10),1,43:00:00,11,18,0.611,5,7,0.714,4,5,0.8,0,6,6,1,3,1,3,4,31,24
0,20,1/10/00,21-140,LAL,,DEN,W (+35),1,36:00:00,12,18,0.667,4,6,0.667,2,2,1,4,3,7,4,4,1,1,2,30,31.6
0,21,1/12/00,21-142,LAL,@,MIL,W (+9),1,43:00:00,10,19,0.526,0,3,0,2,2,1,2,2,4,5,3,2,3,5,22,17.6
0,22,1/14/00,21-144,LAL,@,IND,L (-9),1,40:00:00,7,19,0.368,0,1,0,4,4,1,2,5,7,3,0,1,2,6,18,8.8
0,23,1/15/00,21-145,LAL,@,MIN,W (+13),1,40:00:00,8,18,0.444,2,3,0.667,4,5,0.8,0,3,3,6,1,2,2,4,22,16.1
0,24,1/17/00,21-147,LAL,,SEA,L (-1),1,42:00:00,6,18,0.333,0,5,0,3,4,0.75,1,13,14,2,4,0,3,3,15,10.2
0,25,1/19/00,21-149,LAL,,CLE,W (+9),1,41:00:00,6,15,0.4,0,2,0,13,14,0.929,3,10,13,4,0,2,6,4,25,18.2
0,26,1/22/00,21-152,LAL,,POR,L (-4),1,37:00:00,13,19,0.684,1,2,0.5,1,2,0.5,0,4,4,2,1,0,2,6,28,18.7
0,27,1/24/00,21-154,LAL,@,UTA,L (-4),1,44:00:00,9,24,0.375,1,2,0.5,7,8,0.875,2,5,7,1,0,3,4,5,26,12.1
0,28,1/28/00,21-158,LAL,,MIL,W (+28),1,33:00:00,8,15,0.533,1,2,0.5,6,6,1,0,2,2,0,3,1,0,4,23,18.4
0,29,1/30/00,21-160,LAL,@,HOU,L (-6),1,41:00:00,6,22,0.273,0,2,0,5,6,0.833,1,3,4,5,1,0,2,3,17,6.5
0,30,2/1/00,21-162,LAL,@,SAS,L (-24),1,41:00:00,7,14,0.5,0,1,0,5,6,0.833,1,6,7,8,4,2,1,3,19,22.9
0,31,2/4/00,21-165,LAL,,UTA,W (+46),1,26:00:00,5,8,0.625,0,1,0,3,5,0.6,0,4,4,9,2,1,4,4,13,13.2
0,32,2/7/00,21-168,LAL,,DEN,W (+8),1,42:00:00,10,21,0.476,3,5,0.6,6,7,0.857,1,8,9,11,1,3,4,2,29,27
0,33,2/9/00,21-170,LAL,,MIN,W (+33),1,33:00:00,9,17,0.529,2,2,1,4,5,0.8,2,3,5,4,1,0,5,1,24,16
0,34,2/15/00,21-176,LAL,@,CHI,W (+12),1,42:00:00,8,14,0.571,1,3,0.333,4,4,1,1,4,5,5,5,2,4,1,21,21.8
0,35,2/16/00,21-177,LAL,@,CHH,W (+7),1,34:00:00,9,18,0.5,0,1,0,8,8,1,3,4,7,6,0,0,3,3,26,20.3
0,36,2/18/00,21-179,LAL,@,ORL,W (+8),1,44:00:00,4,10,0.4,1,2,0.5,2,2,1,0,3,3,5,4,0,4,2,11,9.2
0,37,2/20/00,21-181,LAL,@,PHI,W (+3),1,39:00:00,7,15,0.467,0,1,0,4,5,0.8,1,2,3,7,0,5,3,3,18,15.4
0,38,2/22/00,21-183,LAL,@,NJN,W (+8),1,39:00:00,9,20,0.45,0,1,0,3,4,0.75,3,1,4,4,0,1,1,3,21,13.9
0,39,2/23/00,21-184,LAL,@,CLE,W (+18),1,39:00:00,9,22,0.409,1,3,0.333,2,3,0.667,0,7,7,6,2,1,0,2,21,17
0,40,2/25/00,21-186,LAL,,BOS,W (+13),1,31:00:00,6,12,0.5,0,0,,5,6,0.833,1,5,6,5,3,2,2,5,17,16.7
0,41,2/27/00,21-188,LAL,,HOU,W (+16),1,36:00:00,13,18,0.722,2,4,0.5,3,7,0.429,1,3,4,6,1,1,4,5,31,23.5
0,42,2/29/00,21-190,LAL,@,POR,W (+3),1,36:00:00,6,11,0.545,0,1,0,10,10,1,1,6,7,3,1,1,5,4,22,16.4
0,43,3/1/00,21-191,LAL,,VAN,W (+12),1,42:00:00,9,22,0.409,1,4,0.25,8,10,0.8,3,3,6,3,2,0,1,2,27,19.7
0,44,3/3/00,21-193,LAL,,IND,W (+15),1,41:00:00,9,17,0.529,1,2,0.5,3,4,0.75,1,4,5,7,1,1,3,3,22,17.6
0,45,3/5/00,21-195,LAL,,MIA,W (+13),1,39:00:00,5,12,0.417,1,3,0.333,4,6,0.667,1,6,7,3,3,1,2,4,15,12.5
0,46,3/6/00,21-196,LAL,@,LAC,W (+20),1,29:00:00,9,12,0.75,1,2,0.5,3,4,0.75,0,1,1,5,0,0,0,5,22,18.6
0,47,3/9/00,21-199,LAL,@,GSW,W (+17),1,39:00:00,9,19,0.474,1,4,0.25,11,13,0.846,3,1,4,4,2,1,2,2,30,24.6
0,48,3/12/00,21-202,LAL,,SAC,W (+3),1,43:00:00,15,24,0.625,2,4,0.5,8,9,0.889,3,7,10,8,0,1,4,3,40,34.1
0,49,3/13/00,21-203,LAL,@,DEN,W (+10),1,43:00:00,8,20,0.4,0,3,0,6,8,0.75,2,7,9,5,1,0,1,4,22,15.8
0,50,3/16/00,21-206,LAL,@,WAS,L (-7),1,33:00:00,2,10,0.2,0,0,,3,4,0.75,1,2,3,7,1,0,6,6,7,-0.8
0,51,3/17/00,21-207,LAL,@,DET,W (+28),1,33:00:00,12,21,0.571,0,1,0,1,5,0.2,2,6,8,6,2,2,4,3,25,19.1
0,52,3/19/00,21-209,LAL,@,NYK,W (+7),1,44:00:00,8,23,0.348,1,4,0.25,7,10,0.7,2,7,9,7,3,1,2,2,24,19.2
0,53,3/20/00,21-210,LAL,@,MIA,W (+11),1,43:00:00,11,25,0.44,0,0,,1,1,1,0,5,5,4,1,0,2,2,23,12.4
0,54,3/22/00,21-212,LAL,,GSW,W (+23),1,28:00:00,7,16,0.438,2,4,0.5,2,2,1,1,5,6,4,2,2,3,2,18,14.2
0,55,3/24/00,21-214,LAL,,PHO,W (+8),1,33:00:00,9,15,0.6,1,2,0.5,9,11,0.818,2,4,6,7,2,0,1,5,28,26.8
0,56,3/26/00,21-216,LAL,@,SAC,W (+1),1,44:00:00,8,19,0.421,0,1,0,8,11,0.727,5,9,14,4,2,1,3,1,24,21
0,57,3/29/00,21-219,LAL,@,VAN,W (+9),1,43:00:00,13,20,0.65,0,0,,2,2,1,3,3,6,3,4,0,1,5,28,25.3
0,58,3/31/00,21-221,LAL,,PHI,W (+12),1,37:00:00,4,12,0.333,0,2,0,2,2,1,1,8,9,5,0,1,4,2,10,5.7
0,59,4/2/00,21-223,LAL,,NYK,W (+24),1,29:00:00,5,11,0.455,0,0,,7,7,1,0,6,6,8,0,1,2,1,17,17
0,60,4/5/00,21-226,LAL,@,GSW,W (+7),1,42:00:00,5,14,0.357,1,1,1,5,6,0.833,2,3,5,11,1,0,4,4,16,13.2
0,61,4/8/00,21-229,LAL,,SAS,L (-18),1,39:00:00,12,30,0.4,0,3,0,2,4,0.5,3,5,8,5,1,0,0,1,26,16.7
